date,precipitation_mm,precipitation_efficiency_pct,sp_kg,gmh_kg,grid_area_m2
2025-03-12,0.0011885612170073943,0.0343494544407862,579130980.4518772,1685997608638.0657,487253809198.0115
2025-03-13,0.4917132270903214,5.288327387041178,239589142932.80594,4530527809604.015,487253809198.0115
2025-03-14,0.1751685769733885,3.0512306567784706,85351556382.07863,2797282997680.481,487253809198.0115
2025-03-15,0.0,0.0,0.0,378621088935.1877,487253809198.0115
2025-03-16,0.0,0.0,0.0,483947284064.95233,487253809198.0115
2025-03-17,0.0,0.0,0.0,373907988202.27545,487253809198.0115
2025-03-18,0.0,0.0,0.0,265724231891.37442,487253809198.0115
2025-03-19,0.0,0.0,0.0,67742139141.445175,487253809198.0115
2025-03-20,0.0,0.0,0.0,60218196041.59333,487253809198.0115
2025-03-21,0.0,0.0,0.0,144771677426.7765,487253809198.0115
2025-03-22,0.018917889512531566,2.5182532903954336,9217813726.968119,366039975491.1339,487253809198.0115
2025-03-23,0.05744832782574343,0.8812361897254869,27991916565.149605,3176437474029.4473,487253809198.0115
2025-03-24,0.21189292306758914,1.5563872317838807,103245633906.784,6633672636111.721,487253809198.0115
2025-03-25,1.1970986894077105,7.024617838246621,583290896399.8541,8303524972191.888,487253809198.0115
2025-03-26,1.4027693669737482,9.316704132507327,683504717484.2421,7336335980654.311,487253809198.0115
2025-03-27,0.11625560003327183,4.837339956831121,56645983956.81217,1171015154244.4045,487253809198.0115
2025-03-28,0.0,0.0,0.0,427748838242.30164,487253809198.0115
2025-03-29,0.0003116918572471688,0.016713020116950875,151873044.73968583,908710955153.1707,487253809198.0115
2025-03-30,4.306502640882968e-06,0.0001159118158368095,2098359.816091522,1810307086419.7068,487253809198.0115
2025-03-31,0.0,0.0,0.0,613955824911.9717,487253809198.0115
2025-04-01,0.0,0.0,0.0,438360296324.7159,487253809198.0115
2025-04-02,0.006405539805072171,0.19516128081448536,3121123669.9909034,1599253528653.4385,487253809198.0115
2025-04-03,0.00025794586813679713,0.008769880414687582,125685106.81654239,1433145047292.1846,487253809198.0115
2025-04-04,0.025893898483544116,1.6143599880481414,12616900671.093483,781541958702.0411,487253809198.0115
2025-04-05,0.0002385283233304925,0.01875651636209909,116223834.1443974,619645097739.197,487253809198.0115
2025-04-06,0.035435289096033995,1.6486024207487353,17265979592.075325,1047310095798.2183,487253809198.0115
